央视,#genre#
乐山新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lsxwzh_4000.m3u8
乐山文旅生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lsggpd_4000.m3u8
达州新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dzxwzh_2000.m3u8
达州文化生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dzgg_2000.m3u8
达州通川 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/tcq_2000.m3u8
达州导视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dzds_2000.m3u8
绵阳新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/myytH265_4000.m3u8
绵阳科技 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/myetH265_4000.m3u8
雅安新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yazh_2000.m3u8
雅安公共 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yagg_2000.m3u8
广元综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gyzhH265_4000.m3u8
广元文化生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gyggH265_4000.m3u8
自贡综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zgxw_4000.m3u8
自贡文化生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zggg_4000.m3u8
遂宁综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/snxwzhHDH265_4000.m3u8
遂宁文化生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sngggq_2000.m3u8
巴中综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bzytH265_4000.m3u8
巴中文旅生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bzetH264_2000.m3u8
攀枝花新闻综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pzhytH265_4000.m3u8
新津 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xjzh_4000.m3u8
木里 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mltHD_4000.m3u8
岳池 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ycxw_2000.m3u8
万源 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wyxwzh_2000.m3u8
雁江 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yjxw_2000.m3u8
营山 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ysxw_2000.m3u8
西昌 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xctHD_2000.m3u8
康定 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gzkdxwzh_2000.m3u8
小金 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xjdst_2000.m3u8
高县-1 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gxt_2000.m3u8
五通桥 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wtqxwzh_2000.m3u8
沙湾融媒 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/swxwzh_2000.m3u8
精品导视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jpdsH265_4000.m3u8
川网导视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cwdsHDH264_4000.m3u8
央广购物 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yggwgq_4000.m3u8
中国天气 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zgqx_4000.m3u8
摄影频道 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sy_4000.m3u8
天元围棋 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/tywq_2000.m3u8
四海钓鱼 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/shdy_4000.m3u8
车迷频道 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cmpdH264_2000.m3u8
百姓健康 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bxjkH264_2000.m3u8
先锋乒羽 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xfpy_4000.m3u8
嘉佳卡通 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jjkt_2000.m3u8
卡酷少儿 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/kkkt_4000.m3u8
纪实科教 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bjjs_2000.m3u8
重庆气摩 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qmpdH264_2000.m3u8
家庭理财 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jtlc_4000.m3u8
书画频道 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sh_4000.m3u8
证劵服务 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jz_2000.m3u8
中央新影-老故事 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lgs_2000.m3u8
中央新影-中学生 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zxs_4000.m3u8
中央新影-发现之旅 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/fxzl_2000.m3u8
广西卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gxws_4000.m3u8
陕西卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sxws_4000.m3u8
山西卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sxws42_4000.m3u8
云南卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ynws_4000.m3u8
甘肃卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gsws_4000.m3u8
新疆卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xjws_4000.m3u8
西藏卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xzwsH264_2000.m3u8
海南卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hnws_4000.m3u8
兵团卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/btws_4000.m3u8
康巴卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/kbwsH264_2000.m3u8
内蒙古卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/nmgws_4000.m3u8
山东教育卫视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sdjy_4000.m3u8
江苏财富天下 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cftx_4000.m3u8
成都经济 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CDTV-2_4000.m3u8
成都生活 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CDTV-3_4000.m3u8
成都影视 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CDTV-4_4000.m3u8
成都公共 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CDTV-5_4000.m3u8
川广融媒 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cgrh_2000.m3u8
丹棱综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dlxwzhH265_4000.m3u8
南部综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/nbxw_2000.m3u8
安居综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ajxw_2000.m3u8
富顺综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/fszh_2000.m3u8
广汉综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ghxwzh_2000.m3u8
武胜综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wsxw_2000.m3u8
汉源综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hyxwzh_2000.m3u8
雅安雨城 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ycpd_2000.m3u8
青川综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qcxwzhH265_4000.m3u8
龙泉综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lqxw_2000.m3u8
宁南综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/nnt_4000.m3u8
普格综合 标清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pgt_4000.m3u8
